Município;01 ESF - EQUIPE DE SAUDE DA FAMILIA;02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I;03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II;04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE;06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1;07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2;08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA;10 EACSSB_M1 - EQ AGENTES COMUNITµRIOS COM SAUDE BUCAL - MI;11 EACSSB_M2 - EQ AGENTES COMUNITµRIOS COM SAUDE BUCAL - MII;22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I;23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO;36 ESFTRANS      - ESF TRANSITORIA;40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I;41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II;45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3;46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II;49 EAP;51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL;52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II;54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III;Total
261410 Sertânia;0;10;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
261420 Sirinhaém;4;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
261440 Solidão;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
261450 Surubim;0;20;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
261460 Tabira;5;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
261470 Tacaimbó;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
261480 Tacaratu;2;4;0;1;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;12
261485 Tamandaré;1;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
261500 Taquaritinga do Norte;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
261510 Terezinha;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
261520 Terra Nova;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
261530 Timbaúba;0;20;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
261540 Toritama;5;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
261550 Tracunhaém;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
261560 Trindade;0;11;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
261570 Triunfo;1;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
261580 Tupanatinga;0;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
261590 Tuparetama;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
261600 Venturosa;0;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
261610 Verdejante;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
261618 Vertente do Lério;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
261620 Vertentes;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
261630 Vicência;1;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
261640 Vitória de Santo Antão;0;32;0;2;5;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;42
261650 Xexéu;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
