Município;01 ESF - EQUIPE DE SAUDE DA FAMILIA;02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I;03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II;04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE;06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1;07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2;08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA;10 EACSSB_M1 - EQ AGENTES COMUNITµRIOS COM SAUDE BUCAL - MI;11 EACSSB_M2 - EQ AGENTES COMUNITµRIOS COM SAUDE BUCAL - MII;22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I;23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO;40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I;41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II;45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3;46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II;49 EAP;50 EABP1   - EQ ATENCAO BASICA PRISIONAL TIPO I;51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL;52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II;54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III;Total
261280 Santa Terezinha;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
261290 São Benedito do Sul;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
261300 São Bento do Una;3;7;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;13
261310 São Caitano;2;8;0;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;14
261320 São João;0;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
261330 São Joaquim do Monte;0;10;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;14
261340 São José da Coroa Grande;1;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
261350 São José do Belmonte;3;3;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
261360 São José do Egito;0;11;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;15
261370 São Lourenço da Mata;14;11;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
261380 São Vicente Ferrer;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
261390 Serra Talhada;0;23;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
261400 Serrita;0;8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
261410 Sertânia;1;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
261420 Sirinhaém;4;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
261440 Solidão;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
261450 Surubim;0;20;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
261460 Tabira;5;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
